Plot Title: Dead_Decomp_Tank_3,,
#,"Date Time, GMT+08:00","Temp, °C (LGR S/N: 10638326, SEN S/N: 10638326)"
1,2/4/2025 13:20,25.331
2,2/4/2025 13:25,25.355
3,2/4/2025 13:30,25.355
4,2/4/2025 13:35,25.355
5,2/4/2025 13:40,25.355
6,2/4/2025 13:45,25.355
7,2/4/2025 13:50,25.331
8,2/4/2025 13:55,25.355
9,2/4/2025 14:00,25.38
10,2/4/2025 14:05,25.404
11,2/4/2025 14:10,25.404
12,2/4/2025 14:15,25.404
13,2/4/2025 14:20,25.428
14,2/4/2025 14:25,25.453
15,2/4/2025 14:30,25.453
16,2/4/2025 14:35,25.453
17,2/4/2025 14:40,25.453
18,2/4/2025 14:45,25.453
19,2/4/2025 14:50,25.453
20,2/4/2025 14:55,25.477
21,2/4/2025 15:00,25.453
22,2/4/2025 15:05,25.453
23,2/4/2025 15:10,25.453
24,2/4/2025 15:15,25.453
25,2/4/2025 15:20,25.477
26,2/4/2025 15:25,25.501
27,2/4/2025 15:30,25.501
28,2/4/2025 15:35,25.501
29,2/4/2025 15:40,25.477
30,2/4/2025 15:45,25.477
31,2/4/2025 15:50,25.477
32,2/4/2025 15:55,25.477
33,2/4/2025 16:00,25.477
34,2/4/2025 16:05,25.477
35,2/4/2025 16:10,25.453
36,2/4/2025 16:15,25.453
37,2/4/2025 16:20,25.453
38,2/4/2025 16:25,25.453
39,2/4/2025 16:30,25.453
40,2/4/2025 16:35,25.453
41,2/4/2025 16:40,25.453
42,2/4/2025 16:45,25.453
43,2/4/2025 16:50,25.477
44,2/4/2025 16:55,25.477
45,2/4/2025 17:00,25.477
46,2/4/2025 17:05,25.477
47,2/4/2025 17:10,25.477
48,2/4/2025 17:15,25.477
49,2/4/2025 17:20,25.477
50,2/4/2025 17:25,25.477
51,2/4/2025 17:30,25.477
52,2/4/2025 17:35,25.477
53,2/4/2025 17:40,25.477
54,2/4/2025 17:45,25.477
55,2/4/2025 17:50,25.477
56,2/4/2025 17:55,25.477
57,2/4/2025 18:00,25.501
58,2/4/2025 18:05,25.525
59,2/4/2025 18:10,25.525
60,2/4/2025 18:15,25.501
61,2/4/2025 18:20,25.525
62,2/4/2025 18:25,25.501
63,2/4/2025 18:30,25.501
64,2/4/2025 18:35,25.501
65,2/4/2025 18:40,25.501
66,2/4/2025 18:45,25.501
67,2/4/2025 18:50,25.501
68,2/4/2025 18:55,25.501
69,2/4/2025 19:00,25.501
70,2/4/2025 19:05,25.501
71,2/4/2025 19:10,25.501
72,2/4/2025 19:15,25.501
73,2/4/2025 19:20,25.501
74,2/4/2025 19:25,25.501
75,2/4/2025 19:30,25.501
76,2/4/2025 19:35,25.501
77,2/4/2025 19:40,25.501
78,2/4/2025 19:45,25.501
79,2/4/2025 19:50,25.501
80,2/4/2025 19:55,25.477
81,2/4/2025 20:00,25.477
82,2/4/2025 20:05,25.477
83,2/4/2025 20:10,25.477
84,2/4/2025 20:15,25.477
85,2/4/2025 20:20,25.477
86,2/4/2025 20:25,25.477
87,2/4/2025 20:30,25.477
88,2/4/2025 20:35,25.477
89,2/4/2025 20:40,25.477
90,2/4/2025 20:45,25.477
91,2/4/2025 20:50,25.477
92,2/4/2025 20:55,25.453
93,2/4/2025 21:00,25.453
94,2/4/2025 21:05,25.453
95,2/4/2025 21:10,25.453
96,2/4/2025 21:15,25.453
97,2/4/2025 21:20,25.453
98,2/4/2025 21:25,25.428
99,2/4/2025 21:30,25.428
100,2/4/2025 21:35,25.428
101,2/4/2025 21:40,25.428
102,2/4/2025 21:45,25.428
103,2/4/2025 21:50,25.428
104,2/4/2025 21:55,25.428
105,2/4/2025 22:00,25.428
106,2/4/2025 22:05,25.428
107,2/4/2025 22:10,25.428
108,2/4/2025 22:15,25.404
109,2/4/2025 22:20,25.404
110,2/4/2025 22:25,25.404
111,2/4/2025 22:30,25.404
112,2/4/2025 22:35,25.404
113,2/4/2025 22:40,25.38
114,2/4/2025 22:45,25.38
115,2/4/2025 22:50,25.38
116,2/4/2025 22:55,25.38
117,2/4/2025 23:00,25.38
118,2/4/2025 23:05,25.355
119,2/4/2025 23:10,25.355
120,2/4/2025 23:15,25.355
121,2/4/2025 23:20,25.355
122,2/4/2025 23:25,25.355
123,2/4/2025 23:30,25.355
124,2/4/2025 23:35,25.355
125,2/4/2025 23:40,25.331
126,2/4/2025 23:45,25.331
127,2/4/2025 23:50,25.331
128,2/4/2025 23:55,25.307
129,2/5/2025 00:00,25.307
130,2/5/2025 00:05,25.307
131,2/5/2025 00:10,25.307
132,2/5/2025 00:15,25.307
133,2/5/2025 00:20,25.307
134,2/5/2025 00:25,25.307
135,2/5/2025 00:30,25.307
136,2/5/2025 00:35,25.307
137,2/5/2025 00:40,25.307
138,2/5/2025 00:45,25.307
139,2/5/2025 00:50,25.307
140,2/5/2025 00:55,25.283
141,2/5/2025 01:00,25.283
142,2/5/2025 01:05,25.283
143,2/5/2025 01:10,25.283
