ID,Species,Initial,Treatment,Deployment,Retrieval,Final,Dry
1600,Laminaria digitata,7.643,Live,15.11.2024,NA,NA,NA
1601,Laminaria digitata,8.775,Live,15.11.2024,NA,NA,NA
1602,Laminaria digitata,8.425,Live,15.11.2024,NA,NA,NA
1603,Laminaria digitata,8.802,Live,15.11.2024,NA,NA,NA
1604,Laminaria digitata,5.144,Dead,15.11.2024,NA,NA,NA
1605,Laminaria digitata,8.914,Live,15.11.2024,NA,NA,NA
1606,Laminaria digitata,6.611,Dead,15.11.2024,NA,NA,NA
1607,Laminaria digitata,8.786,Live,15.11.2024,NA,NA,NA
1608,Laminaria digitata,9.361,Live,15.11.2024,NA,NA,NA
1609,Laminaria digitata,8.086,Dead,15.11.2024,NA,NA,NA
1610,Laminaria digitata,3.93,Live,15.11.2024,NA,NA,NA
1611,Laminaria digitata,9.539,Live,15.11.2024,NA,NA,NA
1612,Laminaria digitata,7.743,Live,15.11.2024,NA,NA,NA
1613,Laminaria digitata,6.996,Live,15.11.2024,NA,NA,NA
1614,Laminaria digitata,8.106,Dead,15.11.2024,NA,NA,NA
1615,Laminaria digitata,6.955,Live,15.11.2024,NA,NA,NA
1616,Laminaria digitata,6.183,Live,15.11.2024,NA,NA,NA
1617,Laminaria digitata,9.812,Live,15.11.2024,NA,NA,NA
1618,Laminaria digitata,8.444,Dead,15.11.2024,NA,NA,NA
1619,Laminaria digitata,8.389,Dead,15.11.2024,18.11.2024,6.206,NA
1620,Laminaria digitata,6.636,Dead,15.11.2024,NA,NA,NA
1621,Laminaria digitata,5.982,Live,15.11.2024,NA,NA,NA
1622,Laminaria digitata,8.081,Live,15.11.2024,NA,NA,NA
1623,Laminaria digitata,5.116,Dead,15.11.2024,NA,NA,NA
1624,Laminaria digitata,8.059,Live,15.11.2024,NA,NA,NA
1625,Laminaria digitata,5.186,Dead,15.11.2024,NA,NA,NA
1626,Laminaria digitata,7.011,Live,15.11.2024,NA,NA,NA
1627,Laminaria digitata,9.586,Live,15.11.2024,NA,NA,NA
1628,Laminaria digitata,5.655,Live,15.11.2024,NA,NA,NA
1629,Laminaria digitata,4.969,Dead,15.11.2024,NA,NA,NA
1630,Laminaria digitata,6.273,Live,15.11.2024,NA,NA,NA
1631,Laminaria digitata,7.844,Live,15.11.2024,NA,NA,NA
1632,Laminaria digitata,7.45,Dead,15.11.2024,NA,NA,NA
1633,Laminaria digitata,6.507,Live,15.11.2024,18.11.2024,6.3,NA
1634,Laminaria digitata,8.67,Live,15.11.2024,NA,NA,NA
1635,Laminaria digitata,5.435,Live,15.11.2024,NA,NA,NA
1636,Laminaria digitata,5.896,Dead,15.11.2024,NA,NA,NA
1637,Laminaria digitata,6.073,Live,15.11.2024,NA,NA,NA
1638,Laminaria digitata,7.939,Dead,15.11.2024,NA,NA,NA
1639,Laminaria digitata,5.447,Dead,15.11.2024,NA,NA,NA
1640,Laminaria digitata,7.688,Dead,15.11.2024,NA,NA,NA
1641,Laminaria digitata,6.479,Live,15.11.2024,NA,NA,NA
1642,Laminaria digitata,8.583,Live,15.11.2024,NA,NA,NA
1643,Laminaria digitata,7.748,Dead,15.11.2024,NA,NA,NA
1644,Laminaria digitata,6.307,Dead,15.11.2024,NA,NA,NA
1645,Laminaria digitata,6.163,Live,15.11.2024,NA,NA,NA
1646,Laminaria digitata,7.512,Dead,15.11.2024,NA,NA,NA
1647,Laminaria digitata,7.536,Dead,15.11.2024,NA,NA,NA
1648,Laminaria digitata,6.322,Live,15.11.2024,NA,NA,NA
1649,Laminaria digitata,7.542,Live,15.11.2024,NA,NA,NA
1650,Laminaria digitata,6.523,Live,15.11.2024,NA,NA,NA
1651,Laminaria digitata,7.827,Live,15.11.2024,NA,NA,NA
1652,Laminaria digitata,6.499,Dead,15.11.2024,NA,NA,NA
1653,Laminaria digitata,7.894,Dead,15.11.2024,NA,NA,NA
1654,Laminaria digitata,6.053,Dead,15.11.2024,NA,NA,NA
1655,Laminaria digitata,7.94,Live,15.11.2024,NA,NA,NA
1656,Laminaria digitata,7.511,Dead,15.11.2024,NA,NA,NA
1657,Laminaria digitata,8.954,Dead,15.11.2024,NA,NA,NA
1658,Laminaria digitata,9.995,Dead,15.11.2024,NA,NA,NA
1659,Laminaria digitata,5.552,Dead,15.11.2024,NA,NA,NA
1660,Laminaria digitata,7.489,Dead,15.11.2024,NA,NA,NA
1661,Laminaria digitata,6.874,Live,15.11.2024,NA,NA,NA
1662,Laminaria digitata,7.263,Live,15.11.2024,22.11.2024,7.525,NA
1663,Laminaria digitata,7.694,Dead,15.11.2024,NA,NA,NA
1664,Laminaria digitata,5.688,Live,15.11.2024,NA,NA,NA
1665,Laminaria digitata,6.721,Dead,15.11.2024,NA,NA,NA
1666,Laminaria digitata,4.93,Live,15.11.2024,NA,NA,NA
1667,Laminaria digitata,9.051,Dead,15.11.2024,NA,NA,NA
1668,Laminaria digitata,6.395,Dead,15.11.2024,22.11.2024,5.081,NA
1669,Laminaria digitata,5.151,Dead,15.11.2024,NA,NA,NA
1670,Laminaria digitata,9.056,Live,15.11.2024,NA,NA,NA
1671,Laminaria digitata,6.886,Live,15.11.2024,NA,NA,NA
1672,Laminaria digitata,7.173,Live,15.11.2024,NA,NA,NA
1673,Laminaria digitata,9.078,Live,15.11.2024,NA,NA,NA
1674,Laminaria digitata,7.655,Dead,15.11.2024,NA,NA,NA
1675,Laminaria digitata,9.26,Live,15.11.2024,NA,NA,NA
1676,Laminaria digitata,7.096,Dead,15.11.2024,NA,NA,NA
1677,Laminaria digitata,7.663,Live,15.11.2024,NA,NA,NA
1678,Laminaria digitata,6.63,Dead,15.11.2024,NA,NA,NA
1679,Laminaria digitata,6.981,Dead,15.11.2024,NA,NA,NA
1680,Laminaria digitata,8.27,Live,15.11.2024,NA,NA,NA
1681,Laminaria digitata,7.887,Dead,15.11.2024,NA,NA,NA
1682,Laminaria digitata,9.512,Live,15.11.2024,NA,NA,NA
1683,Laminaria digitata,7.176,Live,15.11.2024,NA,NA,NA
1684,Laminaria digitata,5.477,Live,15.11.2024,NA,NA,NA
1685,Laminaria digitata,10.165,Dead,15.11.2024,NA,NA,NA
1686,Laminaria digitata,10.862,Dead,15.11.2024,NA,NA,NA
1687,Laminaria digitata,8.475,Dead,15.11.2024,NA,NA,NA
1688,Laminaria digitata,5.604,Dead,15.11.2024,NA,NA,NA
1689,Laminaria digitata,8.7,Dead,15.11.2024,NA,NA,NA
1690,Laminaria digitata,6.56,Dead,15.11.2024,NA,NA,NA
1691,Laminaria digitata,7.879,Dead,15.11.2024,NA,NA,NA
1692,Laminaria digitata,7.407,Dead,15.11.2024,NA,NA,NA
1693,Laminaria digitata,6.036,Dead,15.11.2024,NA,NA,NA
1694,Laminaria digitata,7.831,Dead,15.11.2024,NA,NA,NA
1695,Laminaria digitata,7.04,Live,15.11.2024,NA,NA,NA
1696,Laminaria digitata,7.894,Live,15.11.2024,NA,NA,NA
1697,Laminaria digitata,9.339,Dead,15.11.2024,NA,NA,NA
1698,Laminaria digitata,7.473,Dead,15.11.2024,NA,NA,NA
1699,Laminaria digitata,9.024,Dead,15.11.2024,NA,NA,NA
1700,Laminaria ochroleuca,3.61,Live,15.11.2024,NA,NA,NA
1701,Laminaria ochroleuca,4.579,Live,15.11.2024,NA,NA,NA
1702,Laminaria ochroleuca,4.149,Dead,15.11.2024,NA,NA,NA
1703,Laminaria ochroleuca,6.879,Live,15.11.2024,NA,NA,NA
1704,Laminaria ochroleuca,3.507,Live,15.11.2024,NA,NA,NA
1705,Laminaria ochroleuca,8.624,Live,15.11.2024,NA,NA,NA
1706,Laminaria ochroleuca,6.626,Dead,15.11.2024,NA,NA,NA
1707,Laminaria ochroleuca,6.55,Dead,15.11.2024,NA,NA,NA
1708,Laminaria ochroleuca,4.52,Dead,15.11.2024,NA,NA,NA
1709,Laminaria ochroleuca,4.564,Dead,15.11.2024,NA,NA,NA
1710,Laminaria ochroleuca,4.082,Live,15.11.2024,NA,NA,NA
1711,Laminaria ochroleuca,4.737,Live,15.11.2024,NA,NA,NA
1712,Laminaria ochroleuca,3.44,Live,15.11.2024,NA,NA,NA
1713,Laminaria ochroleuca,3.478,Dead,15.11.2024,NA,NA,NA
1714,Laminaria ochroleuca,4.446,Live,15.11.2024,NA,NA,NA
1715,Laminaria ochroleuca,5.938,Dead,15.11.2024,NA,NA,NA
1716,Laminaria ochroleuca,7.026,Live,15.11.2024,NA,NA,NA
1717,Laminaria ochroleuca,6.032,Live,15.11.2024,NA,NA,NA
1718,Laminaria ochroleuca,8.245,Dead,15.11.2024,NA,NA,NA
1719,Laminaria ochroleuca,4.842,Live,15.11.2024,NA,NA,NA
1720,Laminaria ochroleuca,4.284,Dead,15.11.2024,NA,NA,NA
1721,Laminaria ochroleuca,7.222,Dead,15.11.2024,NA,NA,NA
1722,Laminaria ochroleuca,7.851,Live,15.11.2024,NA,NA,NA
1723,Laminaria ochroleuca,5.988,Live,15.11.2024,NA,NA,NA
1724,Laminaria ochroleuca,3.808,Dead,15.11.2024,NA,NA,NA
1725,Laminaria ochroleuca,7.466,Live,15.11.2024,NA,NA,NA
1726,Laminaria ochroleuca,8.662,Dead,15.11.2024,NA,NA,NA
1727,Laminaria ochroleuca,5.833,Live,15.11.2024,NA,NA,NA
1728,Laminaria ochroleuca,7.178,Dead,15.11.2024,NA,NA,NA
1729,Laminaria ochroleuca,6.562,Live,15.11.2024,NA,NA,NA
1730,Laminaria ochroleuca,5.487,Live,15.11.2024,NA,NA,NA
1731,Laminaria ochroleuca,4.417,Dead,15.11.2024,NA,NA,NA
1732,Laminaria ochroleuca,7.318,Dead,15.11.2024,NA,NA,NA
1733,Laminaria ochroleuca,4.165,Dead,15.11.2024,NA,NA,NA
1734,Laminaria ochroleuca,6.3,Dead,15.11.2024,NA,NA,NA
1735,Laminaria ochroleuca,8.18,Dead,15.11.2024,NA,NA,NA
1736,Laminaria ochroleuca,4.781,Live,15.11.2024,NA,NA,NA
1737,Laminaria ochroleuca,7.443,Live,15.11.2024,NA,NA,NA
1738,Laminaria ochroleuca,9.211,Dead,15.11.2024,NA,NA,NA
1739,Laminaria ochroleuca,7.182,Live,15.11.2024,NA,NA,NA
1740,Laminaria ochroleuca,5.781,Live,15.11.2024,NA,NA,NA
1741,Laminaria ochroleuca,5.482,Dead,15.11.2024,NA,NA,NA
1742,Laminaria ochroleuca,3.48,Dead,15.11.2024,NA,NA,NA
1743,Laminaria ochroleuca,3.132,Live,15.11.2024,NA,NA,NA
1744,Laminaria ochroleuca,2.974,Live,15.11.2024,NA,NA,NA
1745,Laminaria ochroleuca,6.41,Live,15.11.2024,NA,NA,NA
1746,Laminaria ochroleuca,3.441,Dead,15.11.2024,NA,NA,NA
1747,Laminaria ochroleuca,5.034,Live,15.11.2024,NA,NA,NA
1748,Laminaria ochroleuca,7.894,Live,15.11.2024,NA,NA,NA
1749,Laminaria ochroleuca,5.559,Dead,15.11.2024,NA,NA,NA
1750,Laminaria ochroleuca,5.99,Dead,15.11.2024,NA,NA,NA
1751,Laminaria ochroleuca,3.813,Live,15.11.2024,NA,NA,NA
1752,Laminaria ochroleuca,3.069,Live,15.11.2024,NA,NA,NA
1753,Laminaria ochroleuca,4.296,Dead,15.11.2024,NA,NA,NA
1754,Laminaria ochroleuca,5.3,Live,15.11.2024,NA,NA,NA
1755,Laminaria ochroleuca,4.197,Live,15.11.2024,NA,NA,NA
1756,Laminaria ochroleuca,3.797,Dead,15.11.2024,NA,NA,NA
1757,Laminaria ochroleuca,4.547,Dead,15.11.2024,NA,NA,NA
1758,Laminaria ochroleuca,8.867,Dead,15.11.2024,NA,NA,NA
1759,Laminaria ochroleuca,6.435,Dead,15.11.2024,22.11.2024,0,NA
1760,Laminaria ochroleuca,6.347,Dead,15.11.2024,NA,NA,NA
